feature,mean_importance,std_importance,max_importance,min_importance,horizons,total_observations,stability_score,horizon_coverage,robustness_score,feature_group,horizon,dominant_horizon_type,robust_rank,stable_feature,high_importance_feature,cross_horizon_feature,noisy_feature,selected
astro_momentum_v2_chg_30,0.0045484429277057,0.0,0.0045484429277057,0.0045484429277057,1.0,1.0,4548.442927705701,0.1666666666666666,1591.9985107408331,other,14.0,swing,37.0,False,False,False,False,True
astro_compression_score_ema_30,0.0044305956049573,0.0,0.0044305956049573,0.0044305956049573,1.0,1.0,4430.595604957301,0.1666666666666666,1550.751900639964,compression,14.0,swing,38.0,False,False,False,False,True
astro_reversal_score_chg_10,0.0044154234446757,0.0,0.0044154234446757,0.0044154234446757,1.0,1.0,4415.4234446757,0.1666666666666666,1545.4416384725394,reversal,3.0,timing,39.0,False,False,False,False,True
planet_bullish_Jupiter,0.0044012043339745,0.0,0.0044012043339745,0.0044012043339745,1.0,1.0,4401.2043339745,0.1666666666666666,1540.464944039475,jupiter,7.0,timing,40.0,False,False,False,False,True
astro_momentum_v2_chg_5,0.0043433109918456,0.0,0.0043433109918456,0.0043433109918456,1.0,1.0,4343.3109918456,0.1666666666666666,1520.2022511370235,other,3.0,timing,41.0,False,False,False,False,True
astro_reversal_score_sma_21,0.0042883363832257,0.0,0.0042883363832257,0.0042883363832257,1.0,1.0,4288.3363832257,0.1666666666666666,1500.9611161302148,reversal,7.0,timing,42.0,False,False,False,False,True
btc_return_3d,0.0042776778215381,0.0,0.0042776778215381,0.0042776778215381,1.0,1.0,4277.6778215381,0.1666666666666666,1497.2306152761305,other,3.0,timing,43.0,False,False,False,False,True
astro_bearish_score_chg_3,0.0042292617727492,0.0,0.0042292617727492,0.0042292617727492,1.0,1.0,4229.261772749201,0.1666666666666666,1480.284978833596,bearish,3.0,timing,44.0,False,False,False,False,True
astro_momentum_v2_smooth_chg_10,0.0042236893754864,0.0,0.0042236893754864,0.0042236893754864,1.0,1.0,4223.6893754864,0.1666666666666666,1478.334637562657,other,3.0,timing,45.0,False,False,False,False,True
astro_bullish_score_ema_5,0.0042078983533855,0.0,0.0042078983533855,0.0042078983533855,1.0,1.0,4207.898353385501,0.1666666666666666,1472.8077735109332,bullish,7.0,timing,46.0,False,False,False,False,True
expansion_score,0.0041466850597816,0.0,0.0041466850597816,0.0041466850597816,1.0,1.0,4146.6850597816,0.1666666666666666,1451.3830962642503,other,7.0,timing,47.0,False,False,False,False,True
astro_momentum_v2_smooth_chg_3,0.0041247810442813,0.0,0.0041247810442813,0.0041247810442813,1.0,1.0,4124.781044281301,0.1666666666666666,1443.7166820775394,other,3.0,timing,48.0,False,False,False,False,True
astro_bullish_score_smooth_sma_10,0.0040926269595738,0.0,0.0040926269595738,0.0040926269595738,1.0,1.0,4092.6269595738,0.1666666666666666,1432.4627395682803,bullish,3.0,timing,49.0,False,False,False,False,True
astro_bullish_score_smooth_sma_5,0.0040838426037706,0.0,0.0040838426037706,0.0040838426037706,1.0,1.0,4083.8426037706,0.1666666666666666,1429.3882115234182,bullish,3.0,timing,50.0,False,False,False,False,True
astro_bullish_score_sma_10,0.0040364892465776,0.0,0.0040364892465776,0.0040364892465776,1.0,1.0,4036.4892465776006,0.1666666666666666,1412.8145175645254,bullish,3.0,timing,51.0,False,False,False,False,True
astro_bullish_score_smooth_roll_max_3,0.0039766622644065,0.0,0.0039766622644065,0.0039766622644065,1.0,1.0,3976.6622644065,0.1666666666666666,1391.8750498738475,bullish,3.0,timing,52.0,False,False,False,False,True
astro_volatility_score_chg_21,0.0039572631621235,0.0,0.0039572631621235,0.0039572631621235,1.0,1.0,3957.263162123501,0.1666666666666666,1385.0853563151566,volatility,3.0,timing,53.0,False,False,False,False,True
astro_bullish_score_smooth_chg_10,0.0038950490451904,0.0,0.0038950490451904,0.0038950490451904,1.0,1.0,3895.0490451904,0.1666666666666666,1363.310390502925,bullish,3.0,timing,54.0,False,False,False,False,True
astro_bullish_score_smooth_roll_min_3,0.0038434357680585,0.0,0.0038434357680585,0.0038434357680585,1.0,1.0,3843.4357680585,0.1666666666666666,1345.245722861449,bullish,3.0,timing,55.0,False,False,False,False,True
astro_bearish_score_smooth_chg_10,0.0037884082581961,0.0,0.0037884082581961,0.0037884082581961,1.0,1.0,3788.4082581961,0.1666666666666666,1325.986072398605,bearish,3.0,timing,56.0,False,False,False,False,True
astro_bullish_score_smooth_ema_3,0.0037849608164061,0.0,0.0037849608164061,0.0037849608164061,1.0,1.0,3784.9608164061,0.1666666666666666,1324.779466393128,bullish,3.0,timing,57.0,False,False,False,False,True
astro_bearish_score_smooth_chg_5,0.0037629933245231,0.0,0.0037629933245231,0.0037629933245231,1.0,1.0,3762.9933245231,0.1666666666666666,1317.0908354470814,bearish,3.0,timing,58.0,False,False,False,False,True
astro_bullish_score_smooth_ema_5,0.0036938752551099,0.0,0.0036938752551099,0.0036938752551099,1.0,1.0,3693.8752551099,0.1666666666666666,1292.8994835052338,bullish,3.0,timing,59.0,False,False,False,False,True
astro_volatility_score_roll_max_30,0.0046877235750031,4.42571721324567e-06,0.0046908530296562,0.00468459412035,2.0,2.0,863.9822885643719,0.3333333333333333,302.47900942029344,volatility,14.0,swing,60.0,False,False,False,False,True
