variant_key,constructive_drift,high_conviction_expansion,recovery_reversal_setup,transition_low_conviction,volatility_caution,total_return,CAGR,max_drawdown,Sharpe ratio,Sortino ratio,annual_volatility,win_rate,exposure_ratio,turnover,number_of_allocation_changes,return_max_drawdown_ratio,return_capture_ratio_vs_buy_hold,drawdown_improvement_points,overfit_risk,rank_sharpe,rank_sortino,rank_return_drawdown,rank_total_return
GRID_125,80.0,100.0,85.0,50.0,0.0,8.417664258992598,0.3541372730830763,-0.46063716618001305,1.1509791060141137,1.4474148229039645,0.3032572116142631,0.4111111111111111,0.4292592592592593,78.65,391,18.27395806725471,0.44236424074551833,0.30570847090567776,Low,34.0,67.0,32.0,38.0
GRID_160,90.0,90.0,85.0,30.0,30.0,8.540150027901397,0.3565048526581114,-0.4764598889846179,1.1494031623965204,1.5866342381829388,0.3059051076927877,0.5103703703703704,0.4726481481481481,81.15,367,17.92417415472535,0.4488011004845591,0.2898857481010729,Low,35.0,22.0,38.0,31.0
GRID_196,90.0,100.0,85.0,30.0,30.0,8.540150027901397,0.3565048526581114,-0.4764598889846179,1.1494031623965204,1.5866342381829388,0.3059051076927877,0.5103703703703704,0.4726481481481481,81.15,367,17.92417415472535,0.4488011004845591,0.2898857481010729,Low,35.0,22.0,38.0,31.0
GRID_174,90.0,90.0,100.0,50.0,10.0,9.793310533242682,0.37932689898448535,-0.494432347183724,1.148267598898544,1.5448434195594167,0.3262706182317077,0.5014814814814815,0.4741666666666667,90.15,440,19.807180070287004,0.5146570646120605,0.27191328990196684,Low,36.0,37.0,21.0,14.0
GRID_210,90.0,100.0,100.0,50.0,10.0,9.793310533242682,0.37932689898448535,-0.494432347183724,1.148267598898544,1.5448434195594167,0.3262706182317077,0.5014814814814815,0.4741666666666667,90.15,440,19.807180070287004,0.5146570646120605,0.27191328990196684,Low,36.0,37.0,21.0,14.0
GRID_027,70.0,90.0,100.0,30.0,20.0,5.925882867205796,0.2990318153421432,-0.38871900152966543,1.143625720164681,1.5888902178889948,0.257776404867873,0.5103703703703704,0.40831481481481474,69.35,441,15.244644187411962,0.3114163970721361,0.3776266355560254,Low,37.0,20.0,72.0,98.0
GRID_063,70.0,100.0,100.0,30.0,20.0,5.925882867205796,0.2990318153421432,-0.38871900152966543,1.143625720164681,1.5888902178889948,0.257776404867873,0.5103703703703704,0.40831481481481474,69.35,441,15.244644187411962,0.3114163970721361,0.3776266355560254,Low,37.0,20.0,72.0,98.0
GRID_101,80.0,90.0,100.0,50.0,0.0,8.351806642407002,0.35285325374360554,-0.4606371661800136,1.143521519908558,1.438891997153619,0.3048103013077401,0.4111111111111111,0.4324074074074074,79.95,390,18.13098737053097,0.43890329793979005,0.3057084709056772,Low,38.0,69.0,35.0,41.0
GRID_137,80.0,100.0,100.0,50.0,0.0,8.351806642407002,0.35285325374360554,-0.4606371661800136,1.143521519908558,1.438891997153619,0.3048103013077401,0.4111111111111111,0.4324074074074074,79.95,390,18.13098737053097,0.43890329793979005,0.3057084709056772,Low,38.0,69.0,35.0,41.0
GRID_172,90.0,90.0,100.0,30.0,30.0,8.473435869758992,0.3552185883335697,-0.4764598889846181,1.1420674072246222,1.5769197408884101,0.3074448326545881,0.5103703703703704,0.47579629629629633,81.85000000000002,365,17.78415364159342,0.4452951447935711,0.2898857481010727,Low,39.0,25.0,39.0,35.0
GRID_208,90.0,100.0,100.0,30.0,30.0,8.473435869758992,0.3552185883335697,-0.4764598889846181,1.1420674072246222,1.5769197408884101,0.3074448326545881,0.5103703703703704,0.47579629629629633,81.85000000000002,365,17.78415364159342,0.4452951447935711,0.2898857481010727,Low,39.0,25.0,39.0,35.0
GRID_153,90.0,90.0,75.0,60.0,0.0,10.410000328737581,0.3897265588372838,-0.5160283535343433,1.1355502703557712,1.416122975927168,0.3408027102450635,0.4111111111111111,0.4708333333333333,88.65,383,20.173310744338323,0.5470652843706683,0.2503172835513475,Low,40.0,80.0,15.0,6.0
GRID_189,90.0,100.0,75.0,60.0,0.0,10.410000328737581,0.3897265588372838,-0.5160283535343433,1.1355502703557712,1.416122975927168,0.3408027102450635,0.4111111111111111,0.4708333333333333,88.65,383,20.173310744338323,0.5470652843706683,0.2503172835513475,Low,40.0,80.0,15.0,6.0
GRID_165,90.0,90.0,85.0,60.0,0.0,10.407829654447415,0.38969081483394175,-0.5160283535343431,1.1334607436818769,1.4149888811542195,0.34166343654450954,0.4111111111111111,0.47316666666666674,88.65,383,20.169104242359708,0.5469512113149213,0.25031728355134775,Low,41.0,81.0,16.0,7.0
GRID_201,90.0,100.0,85.0,60.0,0.0,10.407829654447415,0.38969081483394175,-0.5160283535343431,1.1334607436818769,1.4149888811542195,0.34166343654450954,0.4111111111111111,0.47316666666666674,88.65,383,20.169104242359708,0.5469512113149213,0.25031728355134775,Low,41.0,81.0,16.0,7.0
