indicator,span,long_threshold,short_threshold,mode,total_return,buy_hold_return,max_drawdown,buy_hold_max_drawdown,sharpe_like,return_drawdown_ratio,number_of_trades,balanced_score
astro_reversal_score,3,0.5,-0.5,long_short_balanced_v2,169.02983607071747,169.68246816461956,-0.8339900882218974,-0.8339900882218972,1.0274393129876092,202.67607308271053,60,90.28415603061954
astro_reversal_score,3,0.5,-1.0,long_short_balanced_v2,169.02983607071747,169.68246816461956,-0.8339900882218974,-0.8339900882218972,1.0274393129876092,202.67607308271053,60,90.28415603061954
astro_reversal_score,3,0.5,-1.5,long_short_balanced_v2,169.02983607071747,169.68246816461956,-0.8339900882218974,-0.8339900882218972,1.0274393129876092,202.67607308271053,60,90.28415603061954
astro_reversal_score,14,0.5,-0.5,long_short_balanced_v2,163.95573298935713,169.68246816461956,-0.8339900882218976,-0.8339900882218972,1.0190048961818157,196.59194432264505,32,87.59772558747603
astro_reversal_score,14,0.5,-1.0,long_short_balanced_v2,163.95573298935713,169.68246816461956,-0.8339900882218976,-0.8339900882218972,1.0190048961818157,196.59194432264505,32,87.59772558747603
astro_reversal_score,14,0.5,-1.5,long_short_balanced_v2,163.95573298935713,169.68246816461956,-0.8339900882218976,-0.8339900882218972,1.0190048961818157,196.59194432264505,32,87.59772558747603
astro_reversal_score,5,0.5,-0.5,long_short_balanced_v2,162.38452038416585,169.68246816461956,-0.8339900882218976,-0.8339900882218972,1.0205637987209768,194.70797396450666,48,86.71819129530662
astro_reversal_score,5,0.5,-1.0,long_short_balanced_v2,162.38452038416585,169.68246816461956,-0.8339900882218976,-0.8339900882218972,1.0205637987209768,194.70797396450666,48,86.71819129530662
astro_reversal_score,5,0.5,-1.5,long_short_balanced_v2,162.38452038416585,169.68246816461956,-0.8339900882218976,-0.8339900882218972,1.0205637987209768,194.70797396450666,48,86.71819129530662
astro_reversal_score,10,0.5,-0.5,long_short_balanced_v2,158.29192931185042,169.68246816461956,-0.8339900882218974,-0.8339900882218972,1.015653112735868,189.80073210382585,36,84.5310013270818
astro_reversal_score,10,0.5,-1.0,long_short_balanced_v2,158.29192931185042,169.68246816461956,-0.8339900882218974,-0.8339900882218972,1.015653112735868,189.80073210382585,36,84.5310013270818
astro_reversal_score,10,0.5,-1.5,long_short_balanced_v2,158.29192931185042,169.68246816461956,-0.8339900882218974,-0.8339900882218972,1.015653112735868,189.80073210382585,36,84.5310013270818
astro_trend_start_score,8,0.5,-0.5,long_short_balanced_v2,150.26548583196885,169.68246816461956,-0.8339900882218972,-0.8339900882218972,1.0049058913500135,180.17658477493578,28,80.20993992878498
astro_trend_start_score,8,0.5,-1.0,long_short_balanced_v2,150.26548583196885,169.68246816461956,-0.8339900882218972,-0.8339900882218972,1.0049058913500135,180.17658477493578,28,80.20993992878498
astro_trend_start_score,8,0.5,-1.5,long_short_balanced_v2,150.26548583196885,169.68246816461956,-0.8339900882218972,-0.8339900882218972,1.0049058913500135,180.17658477493578,28,80.20993992878498
astro_reversal_score,8,0.5,-0.5,long_short_balanced_v2,133.78690756886655,169.68246816461956,-0.8339900882218972,-0.8339900882218972,0.9925075105828919,160.4178628238928,42,71.28166270733884
astro_reversal_score,8,0.5,-1.0,long_short_balanced_v2,133.78690756886655,169.68246816461956,-0.8339900882218972,-0.8339900882218972,0.9925075105828919,160.4178628238928,42,71.28166270733884
astro_reversal_score,8,0.5,-1.5,long_short_balanced_v2,133.78690756886655,169.68246816461956,-0.8339900882218972,-0.8339900882218972,0.9925075105828919,160.4178628238928,42,71.28166270733884
astro_reversal_score,30,0.5,-0.5,long_short_balanced_v2,121.10399050888486,169.68246816461956,-0.8339900882218972,-0.8339900882218972,0.9731168595089001,145.21034748396565,17,64.4775282609293
astro_reversal_score,30,0.5,-1.0,long_short_balanced_v2,121.10399050888486,169.68246816461956,-0.8339900882218972,-0.8339900882218972,0.9731168595089001,145.21034748396565,17,64.4775282609293
