feature_set,horizon_days,min_hold_days,regime_filter_mode,trend_confirmation_mode,volatility_filter_mode,reversal_filter_mode,long_probability_threshold,short_probability_threshold,threshold_source,signal_quality_entry_threshold,total_return,max_drawdown,sharpe_like,return_drawdown_ratio,balanced_score,number_of_trades,long_signal_days,short_signal_days,flat_signal_days,avg_signal_quality_score,abs_avg_signal_quality_score,avg_ml_quality_component,avg_momentum_quality_component,avg_trend_quality_component,avg_regime_quality_component,avg_reversal_penalty_component,avg_volatility_penalty_component,avg_compression_penalty_component,prediction_start,prediction_end,overall_rank,rank_within_horizon
selected_features,7,3,none,none,none,none,0.52,0.35,tuned,1.15,566.9877881737893,-0.6798252919160708,1.5356070028509472,834.019850270278,336.1859873422951,201,1775,175,1560,1.514573024701901,1.9775483874304174,0.8761898916193999,0.5527404912945786,0.5052866882426248,0.06941595441595441,0.703149151758622,0.7175559770505242,0.5368690820054131,2016-10-06,2026-05-16,41,21
selected_features,90,14,strict,none,soft,none,0.52,0.35,tuned,1.15,630.1455341109966,-0.8545584183006822,1.389739064364992,737.3931619140349,335.69250326575786,124,2318,559,633,1.8507292772596198,2.450190096274269,1.143048567768042,0.5527404912945786,0.5052866882426248,0.06941595441595441,0.703149151758622,0.7175559770505242,0.5368690820054131,2016-10-06,2026-05-16,42,21
selected_features,90,14,none,soft,soft,soft,0.52,0.35,tuned,1.15,634.8273039651971,-0.8816760277556787,1.4101498342390257,720.0233237384947,333.6143133445471,115,2250,401,859,1.8610747435412396,2.34104093556031,1.143048567768042,0.5527404912945786,0.5052866882426248,0.06941595441595441,0.703149151758622,0.7175559770505242,0.5368690820054131,2016-10-06,2026-05-16,43,22
selected_features,7,7,none,none,soft,soft,0.52,0.35,tuned,1.15,535.1279942699697,-0.6494203013402167,1.5403856185144618,824.0087246512304,324.77750280104175,145,1763,98,1649,1.3644272643839588,1.7054467079800826,0.8761898916193999,0.5527404912945786,0.5052866882426248,0.06941595441595441,0.703149151758622,0.7175559770505242,0.5368690820054131,2016-10-06,2026-05-16,44,22
selected_features,90,14,soft,soft,soft,soft,0.52,0.35,tuned,1.15,604.3499328714643,-0.8623078180169993,1.3987728153778674,700.8517379110093,320.6550131565021,116,2276,421,813,1.8783023043727125,2.366907477282953,1.143048567768042,0.5527404912945786,0.5052866882426248,0.06941595441595441,0.703149151758622,0.7175559770505242,0.5368690820054131,2016-10-06,2026-05-16,45,23
selected_features,7,7,none,soft,soft,soft,0.52,0.35,tuned,1.15,509.4679393225338,-0.6165939577178579,1.5186948447285347,826.2616474676145,317.5435120387907,155,1815,109,1586,1.4947829573225853,1.8604477485933963,0.8761898916193999,0.5527404912945786,0.5052866882426248,0.06941595441595441,0.703149151758622,0.7175559770505242,0.5368690820054131,2016-10-06,2026-05-16,46,23
selected_features,90,7,none,strict,none,soft,0.52,0.35,tuned,1.15,601.4348458241822,-0.8727672545273584,1.3925160416573654,689.1125242203151,317.3573801377386,146,2335,373,802,2.1948822910849657,2.658900959365034,1.143048567768042,0.5527404912945786,0.5052866882426248,0.06941595441595441,0.703149151758622,0.7175559770505242,0.5368690820054131,2016-10-06,2026-05-16,47,24
selected_features,7,7,strict,none,soft,none,0.52,0.35,tuned,1.15,482.20396381698316,-0.560249150068499,1.4627221601461222,860.695574028138,316.23994526918807,186,1865,217,1428,1.5048118566440982,1.9158833409922533,0.8761898916193999,0.5527404912945786,0.5052866882426248,0.06941595441595441,0.703149151758622,0.7175559770505242,0.5368690820054131,2016-10-06,2026-05-16,48,24
selected_features,90,7,none,soft,none,none,0.52,0.35,tuned,1.15,595.1168724363474,-0.8602457314592669,1.3895988105218369,691.7986927140324,316.0318526930693,137,2274,485,751,2.0884219400544572,2.7096758939139756,1.143048567768042,0.5527404912945786,0.5052866882426248,0.06941595441595441,0.703149151758622,0.7175559770505242,0.5368690820054131,2016-10-06,2026-05-16,49,25
selected_features,7,7,none,soft,soft,none,0.52,0.35,tuned,1.15,469.67916464806746,-0.5706701977755084,1.4624670569469609,823.0308266997166,304.95644045707564,176,1868,195,1447,1.6230547736769263,2.0015987848293473,0.8761898916193999,0.5527404912945786,0.5052866882426248,0.06941595441595441,0.703149151758622,0.7175559770505242,0.5368690820054131,2016-10-06,2026-05-16,50,25
