feature,mean_importance,std_importance,max_importance,min_importance,horizons,total_observations,stability_score,horizon_coverage,robustness_score,feature_group,horizon,dominant_horizon_type,robust_rank,stable_feature,high_importance_feature,cross_horizon_feature,noisy_feature,selected
astro_bullish_score_sma_60,0.0062718824031257,0.0012653392194361,0.0071666123456904,0.0053771524605612,2.0,2.0,4.952766452197838,0.3333333333333333,1.8193103445638268,bullish,90.0,macro,103.0,False,True,False,False,True
planet_trend_end_Pluto,0.0048718962314552,0.0010426655218287,0.0059868815441626,0.0039210116525288,3.0,3.0,4.668062831968061,0.5,1.7607707496814031,pluto,90.0,macro,104.0,False,False,False,False,True
astro_bearish_score_smooth_sma_60,0.0059226568455076,0.001321822665246,0.0077394938635312,0.0046847640333686,4.0,4.0,4.47728709305571,0.6666666666666666,1.7360862119743683,bearish,90.0,macro,105.0,False,False,False,True,True
sun_target_strength,0.0061987744115662,0.0014516203963357,0.0079507932532273,0.0040299566544771,5.0,5.0,4.267305090306162,0.8333333333333334,1.7043696247051163,sun,30.0,swing,106.0,False,True,True,True,True
astro_reversal_score_ema_60,0.0053170155442633,0.0013012314680507,0.0068193846257471,0.0045466296833332,3.0,3.0,4.083003425053183,0.5,1.5561780049863192,reversal,90.0,macro,108.0,False,False,False,True,True
btc_vol_30d,0.0065205013882797,0.001857143351502,0.0083317602217876,0.0042023047939925,6.0,6.0,3.509148733335741,1.0,1.4808102572228212,other,90.0,macro,109.0,False,True,True,True,True
astro_bullish_score_roll_max_3,0.0050071916829312,0.001270410149782,0.0059055073147303,0.0041088760511321,2.0,2.0,3.938297711237859,0.3333333333333333,1.4637404089397563,bullish,7.0,timing,110.0,False,False,False,True,True
astro_bullish_score_sma_5,0.0052287498905889,0.0013433638199885,0.0061786515573035,0.0042788482238743,2.0,2.0,3.889386052231947,0.3333333333333333,1.4467099515707502,bullish,7.0,timing,111.0,False,False,False,True,True
astro_compression_score_ema_60,0.0064268126407487,0.0016592753093739,0.0076000974638625,0.005253527817635,2.0,2.0,3.8709318897069056,0.3333333333333333,1.4407302197870495,compression,90.0,macro,113.0,False,True,False,True,True
astro_bullish_score_smooth_roll_max_5,0.0047604000565102,0.0012311075010635,0.0056309245188819,0.0038898755941386,2.0,2.0,3.8636239552158815,0.3333333333333333,1.4375058776814962,bullish,3.0,timing,114.0,False,False,False,False,True
astro_bearish_score_sma_60,0.0063331605628589,0.0017225955535278,0.0082202837658232,0.0048451635164806,3.0,3.0,3.6743890119095823,0.5,1.4135694183934977,bearish,90.0,macro,115.0,False,True,False,True,True
astro_trend_start_score_roll_max_3,0.0045928354165665,0.0012886952060583,0.0060769949996528,0.0037575457378463,3.0,3.0,3.561178947546528,0.5,1.3732497658079112,trend_start,14.0,swing,116.0,False,False,False,True,True
buy_hold_drawdown,0.0114105214087579,0.0036311597738449,0.0153673105502987,0.0071085709125279,6.0,6.0,3.141525185903029,1.0,1.3540980236295634,other,60.0,macro,117.0,False,True,True,True,True
astro_trend_end_score_roll_max_30,0.0063104438928171,0.0017576008665885,0.0075532553842012,0.005067632401433,2.0,2.0,3.588332072790683,0.3333333333333333,1.341773736367199,trend_end,90.0,macro,118.0,False,True,False,True,True
astro_reversal_score_sma_60,0.0067546599334403,0.0020053350711465,0.0089498339136182,0.0050188902538862,3.0,3.0,3.366665932615248,0.5,1.306034940388713,reversal,90.0,macro,119.0,False,True,False,True,True
astro_trend_start_score_ema_10,0.005460852477685,0.0016118991188538,0.0066006372752152,0.0043210676801549,2.0,2.0,3.385737157303271,0.3333333333333333,1.2705256793805522,trend_start,14.0,swing,120.0,False,False,False,True,True
astro_bullish_score_roll_max_30,0.0059490560680009,0.001839440517183,0.0080438502570015,0.0045976533887626,3.0,3.0,3.232408769780021,0.5,1.2587226918502077,bullish,90.0,macro,121.0,False,False,False,True,True
conjunction_strength,0.0074423001189292,0.0024007188932963,0.0109502184178825,0.0055535223920944,4.0,4.0,3.098739048812972,0.6666666666666666,1.2542022537987785,conjunction,60.0,macro,122.0,False,True,False,True,True
astro_trend_start_score_roll_max_21,0.0069377643026783,0.0023383690065007,0.0098976504724559,0.0038248565827966,5.0,5.0,2.9656562446537604,0.8333333333333334,1.2490881246832208,trend_start,30.0,swing,123.0,False,True,True,True,True
astro_trend_start_score_roll_min_30,0.0070695544233857,0.0021517049532741,0.0085910395869586,0.0055480692598129,2.0,2.0,3.284033147521337,0.3333333333333333,1.235572756735155,trend_start,60.0,macro,124.0,False,True,False,True,True
astro_compression_score_sma_60,0.0067756766446352,0.0022023821650157,0.0091834956378056,0.0048630408448304,3.0,3.0,3.075125483094215,0.5,1.2040041897408291,compression,90.0,macro,125.0,False,True,False,True,True
astro_bearish_score_ema_60,0.0079166283250812,0.0025806681855152,0.010101987614215,0.0050695251664282,3.0,3.0,3.066477857029903,0.5,1.2014339012904984,bearish,90.0,macro,126.0,False,True,False,True,True
astro_bearish_score_smooth_ema_60,0.0073956471218545,0.0024398298019231,0.0096650417479919,0.0048152128045225,3.0,3.0,3.029972477404008,0.5,1.1884486259401446,bearish,90.0,macro,127.0,False,True,False,True,True
astro_trend_start_score_chg_30,0.0052702504957913,0.0017106150129463,0.0064798379714452,0.0040606630201375,2.0,2.0,3.0791097623754395,0.3333333333333333,1.1631298503630536,trend_start,14.0,swing,128.0,False,False,False,True,True
astro_trend_start_score_sma_5,0.0050534195423624,0.0018117293313003,0.0071368029780314,0.0038474163371656,3.0,3.0,2.7877408144201152,0.5,1.1027306528639853,trend_start,14.0,swing,129.0,False,False,False,True,True
astro_bullish_score_smooth_chg_30,0.0052172532440579,0.0018444877518047,0.0065215030411747,0.0039130034469413,2.0,2.0,2.8270321701977084,0.3333333333333333,1.0748814942001543,bullish,14.0,swing,131.0,False,False,False,True,True
planet_trend_start_Pluto,0.0068783681881106,0.0029509281029987,0.0114637241397767,0.0042506547378983,6.0,6.0,2.3301272754993816,1.0,1.0682958937000278,pluto,90.0,macro,132.0,False,True,True,True,True
astro_trend_start_score_roll_max_10,0.0058510452734025,0.0021785121017668,0.0083662502695455,0.0045584735305912,3.0,3.0,2.6845665452645218,0.5,1.0669387089519435,trend_start,14.0,swing,133.0,False,False,False,True,True
buy_hold_equity,0.0154591872096303,0.0068776637529383,0.0238140730299826,0.0075305164464208,6.0,6.0,2.247411381756613,1.0,1.0427776584986668,other,90.0,macro,134.0,False,True,True,True,True
astro_volatility_score_roll_max_21,0.0054461976539933,0.002108160297662,0.0069368920962985,0.0039555032116883,2.0,2.0,2.582163935112148,0.3333333333333333,0.9892691896841824,volatility,30.0,swing,136.0,False,False,False,True,True
astro_bullish_score_smooth_roll_max_30,0.0074312006425227,0.0035946012417723,0.0115615830217718,0.0050108839282691,3.0,3.0,2.066747712785772,0.5,0.8513341797320293,bullish,90.0,macro,137.0,False,True,False,True,True
strategy_drawdown,0.0093974440393208,0.0058196318516294,0.0168046180065878,0.004475174660626,5.0,5.0,1.6145058266638217,0.8333333333333334,0.7771693502813992,other,60.0,macro,139.0,False,True,True,True,True
sun_signal,0.0,,,,,,,0.0,0.0,raw_recovery,,raw_recovery,,False,False,False,False,True
moon_signal,0.0,,,,,,,0.0,0.0,raw_recovery,,raw_recovery,,False,False,False,False,True
