variant_key,variant_label,year,strategy,total_return,CAGR,max_drawdown,Sharpe ratio,Sortino ratio,annual_volatility,win_rate,exposure_ratio,turnover,number_of_allocation_changes,return_max_drawdown_ratio
E_Recovery_Aggressive_v2,Recovery Aggressive v2,2024,Allocation Strategy,0.2652870400394587,0.2644738567022866,-0.2099802413433961,0.9650219658835765,1.3048148698302553,0.28538445436858545,0.5218579234972678,0.49371584699453547,11.400000000000002,45,1.2633904901824324
E_Recovery_Aggressive_v2,Recovery Aggressive v2,2024,Buy & Hold,1.21054746592571,1.2057616836679736,-0.26182033008476613,1.745606375102204,2.905598250410992,0.5347703246111739,0.5218579234972678,1.0,0.0,0,4.623580856130565
E_Recovery_Aggressive_v2,Recovery Aggressive v2,2025,Allocation Strategy,0.2225415569797129,0.2225415569797129,-0.16547966803548064,0.9281061382313233,1.5308932949944727,0.24987988738326888,0.4986301369863014,0.57986301369863,10.65,43,1.3448271900811257
E_Recovery_Aggressive_v2,Recovery Aggressive v2,2025,Buy & Hold,-0.06336749968935496,-0.06336749968935496,-0.3214698048461443,0.05276454068227213,0.07734213273556449,0.41863119762474554,0.4986301369863014,1.0,0.0,0,-0.19711804572028993
E_Recovery_Aggressive_v2,Recovery Aggressive v2,2026,Allocation Strategy,-0.05743900799020396,-0.1401429619749227,-0.23576204005066315,-0.2991128687838508,-0.42293466885994985,0.3262523612620457,0.48951048951048953,0.7129370629370633,5.75,35,-0.24363128168496012
E_Recovery_Aggressive_v2,Recovery Aggressive v2,2026,Buy & Hold,-0.12030446928122318,-0.27903972824518386,-0.35311531742601765,-0.38043148271428834,-0.5165109858268457,0.5122147247675745,0.48951048951048953,1.0,0.0,0,-0.3406945644787232
F_Balanced_v2,Balanced v2,2019,Allocation Strategy,0.403187542672812,0.403187542672812,-0.0999417840603819,2.0515747996231757,3.127516145045435,0.1723595090420889,0.5205479452054794,0.2453424657534247,8.2,59,4.034223988129108
F_Balanced_v2,Balanced v2,2019,Buy & Hold,0.8716174456068169,0.8716174456068169,-0.4898281300068478,1.2593792205944576,1.8410862647454518,0.6792177791831441,0.5205479452054794,1.0,0.0,0,1.779435259454437
F_Balanced_v2,Balanced v2,2020,Allocation Strategy,1.5377267871388685,1.5312778760593244,-0.12091772633041176,2.8410782874241445,4.091654392122405,0.3483730872954837,0.5628415300546448,0.4871584699453552,14.15,72,12.717132829118688
F_Balanced_v2,Balanced v2,2020,Buy & Hold,3.031600901707659,3.0162729798514,-0.5186169126186413,2.3245873796607124,2.562460922756376,0.7194296929899909,0.5628415300546448,1.0,0.0,0,5.8455496300733065
